id;raison_sociale;adresse_mail;commentaire;rang;ninea;nat_code;mon_code;pv_offre_financiere;negociation;montant_offert;score_financier;prix_evalue;score_technique_pondere;score_financier_pondere;score_final;montant_definitif;montant_tva;montant_douane;date_depot;heuredepot;rabais;score_technique;seuil_atteint;classemen_technique;classement_general;candidat_restreint_id;etat_preselection;etat_examen_preliminaire;critere_qualification;attributaire_provisoire;offre_technique;offre_financiere;lettre_soumission;valide;numero;garantie;piece_requise;observations_offres;observations_candidats;mode_reception;notifie;signature_offre;exhaustivite;garantie_soumission;conformite;critere_provenance;note_preselectionne;autorite_id;ajustement
1;Mobility expedite payment;Liaison Practical;parsing sensor lime;GB Team-oriented Director;Ergonomic Light;Corporate;Practical Frozen Chicken;online Lead;Regional;89644;14084;93174;88106;84841;45107;21666;92429;35089;2021-01-12;2021-01-12;77195;97177;38781;5174;291;44144;47619;88833;41220;65294;91857;64402;54551;25404;65861;87776;62758;Swaziland capacity Focused;payment;Cedi Bedfordshire;Customer override synthesize;deposit;Steel;deliver Plains;expedite Falkland Islands (Malvinas) parallelism;Credit Card Account;32796;46275;38382
2;Divide;Avon withdrawal Meadow;impactful withdrawal array;input National calculating;Sleek Soft Cheese Handmade;context-sensitive copying North Dakota;concept morph;Lead neural didactic;Gorgeous Refined;47458;66002;27129;14879;66628;69859;58940;63228;35052;2021-01-13;2021-01-12;63368;13043;3150;92774;23767;88666;80455;81032;96288;33198;7342;95415;67534;56478;43435;93089;73197;networks;Specialist Practical;back up;Concrete;Harbor;Washington;Incredible Frozen Pants distributed;Persistent;Tools Internal;18086;33097;29388
3;Viaduct ADP;SCSI California;Ergonomic interactive;Devolved Tanzanian Shilling;Consultant Vanuatu;Planner;Pizza;driver Netherlands Antillian Guilder invoice;Cote d'Ivoire zero administration;53973;43635;97482;26309;68560;55905;53207;45714;83762;2021-01-12;2021-01-12;69520;39204;92589;30763;50878;39859;74286;18964;77849;23845;8348;70380;81509;91369;56711;90040;20039;Concrete mint green Movies;value-added Books;Lead hacking;Mozambique;copy Investment Account;Silver;system-worthy compelling Hawaii;Cheese global input;driver;50831;22221;11722
4;Kroon;Granite;harness intranet;purple convergence;SSL Incredible Steel Pizza;payment bus Berkshire;static;transmitter Computers;customized;13691;86270;10807;52377;66737;74667;24004;70839;14869;2021-01-12;2021-01-13;87481;27744;33799;51349;68803;32094;61484;26641;21196;48569;13071;64983;61678;33838;68884;53481;71570;Marshall Islands wireless Pizza;multi-byte;COM Rapids dynamic;driver Strategist;digital user-facing;Handcrafted;JBOD Soft Throughway;Networked;Cheese Implemented Bedfordshire;2595;45530;58630
5;deposit;Summit cross-platform;Books;Consultant;Investor plum navigating;efficient Yen;Electronics;Yen Berkshire Cliffs;Bedfordshire indexing;77327;29339;23159;1543;7262;74477;67622;87179;72740;2021-01-13;2021-01-12;82388;41408;49908;88164;42262;66374;61528;34994;34099;86519;88861;85570;23484;36291;92782;9757;97042;Mews Strategist knowledge base;Borders Clothing New Hampshire;Refined Fiji;Assurance Tasty Dale;payment;deliverables deposit;Hat Small;redundant hard drive navigating;Licensed Personal Loan Account;77441;47888;20242
6;Investment Account Compatible Connecticut;Accounts unleash;XML Shoes Guinea;Pizza Computers;Cambridgeshire engineer;Bacon Handcrafted Plastic Pizza;circuit;HTTP redundant Sports;primary array;12618;89884;95506;8030;86297;61023;81420;45200;8841;2021-01-12;2021-01-12;41356;85264;69383;99061;34916;6171;48446;16308;69460;97763;38620;59111;25044;1940;48033;43584;88191;web services Principal Connecticut;Tasty 24/7;explicit Connecticut;bandwidth;calculating Trinidad and Tobago Computers;Plaza Administrator Kids;Avon;website Borders Moldovan Leu;deposit alliance;53765;65098;63425
7;Arizona;Fork IB content-based;Home Loan Account primary;global deposit Kansas;open-source;compress Cote d'Ivoire;architectures Developer;transmit Baby;Rustic Metal Chicken bypass European Monetary Unit (E.M.U.-6);68934;60332;26213;19614;15510;83485;59860;89764;5563;2021-01-13;2021-01-13;14944;86079;47333;1981;80461;2795;83919;71490;92084;36595;61228;12638;77364;73317;50265;16795;46152;gold;architecture;24/7;Bridge;Cheese Chair Tasty Granite Chips;facilitate 3rd generation cross-platform;deposit blue Keyboard;Rustic virtual Dynamic;whiteboard circuit Strategist;5222;31302;12369
8;Chair payment;olive Steel Inlet;Music;Accountability Georgia program;Managed;users Rial Omani Martinique;Music Maryland;cross-platform users;black;25127;64893;2030;52859;43306;22347;30206;17331;88297;2021-01-13;2021-01-12;36575;50521;88797;32041;82010;83643;33758;5411;25051;60514;60728;45900;50818;7498;68668;33927;41650;Connecticut;Senior;Andorra Intelligent lime;Facilitator;Vermont;Forward Executive;RAM;Practical Soft Tuna withdrawal;impactful quantify;87450;8257;92849
9;white;Home Loan Account;plum;Turks and Caicos Islands;Infrastructure innovative;Pants Multi-lateral;tan Savings Account Sleek;Hat;niches;58595;72798;35949;38250;39855;38431;30983;54539;11775;2021-01-12;2021-01-12;96432;2403;98216;46562;63398;11213;18777;25430;20738;8975;7816;37883;58573;81427;53229;6742;58959;capacitor;interfaces;back up Music Gorgeous;capability Accounts plum;Car cross-platform;repurpose JSON;Multi-lateral interactive;Ergonomic Chair;Knolls HDD parse;78925;58439;10199
10;Digitized;Points Internal Rubber;optical asynchronous monitor;transitional withdrawal;bypassing;hack compress indexing;Philippine Peso system;reinvent Bedfordshire open-source;Creek maroon Frozen;91720;55728;47479;79031;19440;94412;74667;84111;86236;2021-01-12;2021-01-12;12747;43867;1664;15882;74340;91276;51785;82454;36346;6603;35059;77919;71179;33291;98682;38106;7671;payment Cambridgeshire;Accountability Refined;Customizable analyzing redundant;Planner North Carolina Investment Account;reinvent SMS Legacy;GB Egyptian Pound reintermediate;Supervisor orchestration Incredible Fresh Salad;website Avon;Qatar plum;738;18112;22818
