id;type_document;text_pv_ouverture;nom_fichier;libelle;reference;objet;origine;lieu_acquisition_dao;fichier_demande_publication;fichier_dc;fichier_ar;date;heure;date_demande_publication;date_limite_depot;heure_limite_depot;date_ouvertue_desplis;heure_ouverture_des_plis;autorite_id
1;invoice infomediaries;target Fantastic Universal;Mountain;viral hacking parse;neural El Salvador Colon US Dollar;Maine hacking;Automotive azure Auto Loan Account;hacking Aruban Guilder grey;pricing structure;hard drive;Down-sized fault-tolerant Rustic;2021-01-12;2021-01-12;2021-01-12;2021-01-13;2021-01-13;2021-01-13;2021-01-13;64381
2;AGP Cambridgeshire payment;Berkshire Credit Card Account Operations;clear-thinking copy;Steel back up envisioneer;bi-directional;Response Games Generic Fresh Cheese;Borders Tactics payment;orchid Savings Account Pataca;array microchip;Gorgeous Soft Tuna Beauty;Shoes Health COM;2021-01-13;2021-01-12;2021-01-13;2021-01-12;2021-01-12;2021-01-12;2021-01-12;4266
3;Tactics payment Checking Account;dynamic;Mozambique;mesh;initiative;Engineer Product hacking;purple sky blue;supply-chains visualize;Steel Estonia;Bulgarian Lev;calculate Persevering;2021-01-13;2021-01-12;2021-01-12;2021-01-12;2021-01-12;2021-01-13;2021-01-13;21603
4;Cocos (Keeling) Islands;Checking Account Fords;payment;JSON;green Accounts;XSS;Soap;Harbors;Port;Universal;Investment Account Inverse Identity;2021-01-12;2021-01-13;2021-01-13;2021-01-13;2021-01-12;2021-01-13;2021-01-12;63359
5;open-source toolset Ford;Incredible;Movies;Maine Indiana;Sleek Fresh Soap capability Books;Credit Card Account Credit Card Account;Center;architect;synthesizing Avon;Dynamic;Product scale Corporate;2021-01-13;2021-01-13;2021-01-13;2021-01-12;2021-01-13;2021-01-13;2021-01-12;85410
6;transmitter;invoice matrix;Dynamic definition red;alarm;open-source system engine Marketing;Creative Concrete Industrial;bypass;multi-byte Fresh;Fantastic open-source;Bahraini Dinar hard drive;Intranet Executive transmitting;2021-01-12;2021-01-12;2021-01-12;2021-01-12;2021-01-12;2021-01-12;2021-01-12;34450
7;Metal Berkshire;matrix array New York;program;Product system International;directional index 1080p;Connecticut parse;primary Rustic Wooden Fish program;methodologies motivating;Bermuda;Credit Card Account;tan navigating;2021-01-12;2021-01-12;2021-01-12;2021-01-13;2021-01-12;2021-01-12;2021-01-13;3348
8;Legacy;FTP connecting;Louisiana quantifying Platinum;Tasty Wooden Gloves user-centric;multi-byte Clothing Sierra Leone;one-to-one;deposit Music protocol;infomediaries challenge 1080p;Legacy;navigate Developer Clothing;quantifying Internal Intranet;2021-01-12;2021-01-12;2021-01-12;2021-01-12;2021-01-13;2021-01-13;2021-01-12;80560
9;Senior Montana;Web Steel Afghanistan;leading-edge;Arizona indigo Arkansas;action-items Cove cross-platform;copy Handcrafted Small Granite Ball;array driver Ergonomic Wooden Gloves;El Salvador Colon US Dollar;cyan deposit;budgetary management;Licensed transmit Gorgeous Wooden Pizza;2021-01-12;2021-01-12;2021-01-12;2021-01-12;2021-01-12;2021-01-13;2021-01-13;26202
10;foreground SSL;bandwidth;Handcrafted Fresh Pants;compress;customer loyalty plum;programming PNG violet;discrete alliance;bricks-and-clicks;Music;asynchronous service-desk;National bus global;2021-01-13;2021-01-12;2021-01-12;2021-01-13;2021-01-12;2021-01-12;2021-01-12;15687
