id;apo_datecreation;apo_date_autorisation;apo_date_demande_autorisation;apo_date_rejet;apo_date_mise_autorisation;date_stop_procedure;date_affectation_dossier;apo_date_pv_ouverturepli;apo_date_versement;date_pub_liste_restreinte;apo_projet;apo_objet;apo_reference;apo_numero_pret_credit;apo_commentaire_autorisation;apo_fichier_mise_autorisation;numero_marche;motif_stop_procedure;apo_fichier_pv;apo_fichier_validation;apo_autorisation_prealable;apo_fichier_autorisation_prealable;apo_reference_requete_ac;apo_rapport_special;apo_reference_communication;apo_releve_conseil;apo_fichier_rapport_special;apo_fichier_releve_conseil;pub_liste_restreinte;fichier_liste_restreinte;apo_montant_estime;apo_montant_versement;apo_responsable_dcmp;etat_seuil;apo_statut;apo_valide;apo_nbre_dao;apo_nbre_dc;apo_etat_validation;autirite_id;realisation_id;modepassation_id;typemarche_id;modeselection_id
1;2021-01-12;2021-01-12;2021-01-12;2021-01-13;2021-01-13;2021-01-12;2021-01-12;2021-01-13;2021-01-12;2021-01-12;portals Ridges Streets;ivory generate;Marketing teal Berkshire;indexing;Accountability;olive Credit Card Account Rubber;interfaces evolve;channels Global Mouse;engage Bedfordshire;Incredible Cotton Mouse plum;tan;Officer;Berkshire Administrator;stable XSS Human;incremental;withdrawal Angola Computers;Common;Accounts Soft Chips;Plastic deposit;Program;62780;87745;41401;54688;multi-byte seize 1080p;web-enabled Toys access;26643;4666;26826;74074;49034;4006;56353;28312
2;2021-01-12;2021-01-12;2021-01-13;2021-01-13;2021-01-13;2021-01-12;2021-01-12;2021-01-12;2021-01-12;2021-01-13;Silver Monitored throughput;Drive;neural Balboa US Dollar;solid state;Buckinghamshire Ball;Metal;Chips Garden synthesizing;Kentucky Buckinghamshire;Fresh;Refined Granite Tuna;service-desk;circuit COM;North Carolina;Movies Music digital;Shirt;Cambridgeshire;web services;Officer;Direct Practical Guinea;Proactive Legacy;11242;1753;32799;97588;Synchronised USB Communications;Kip CFA Franc BCEAO full-range;90202;53606;79670;26633;56292;79394;10018;79383
3;2021-01-13;2021-01-12;2021-01-12;2021-01-13;2021-01-13;2021-01-12;2021-01-13;2021-01-13;2021-01-13;2021-01-12;dot-com Cotton;overriding Branding Auto Loan Account;ivory;Monitored embrace Gambia;Tuna;Decentralized;applications background AGP;green Ports;Gorgeous Steel Bike;1080p Toys deploy;Maine Bike;streamline Movies;fresh-thinking Forward;Internal;copy HTTP motivating;Facilitator Configurable Buckinghamshire;Gorgeous Fresh Bacon bandwidth West Virginia;Denmark Lilangeni Cambridgeshire;ADP Human;Practical;93046;5501;36483;44192;SAS New Mexico;neural port neural;43066;49075;55628;56363;6958;66264;54665;77365
4;2021-01-13;2021-01-12;2021-01-13;2021-01-12;2021-01-12;2021-01-13;2021-01-13;2021-01-13;2021-01-12;2021-01-12;calculating;Colorado;parsing projection Down-sized;efficient;invoice Division radical;Dynamic Comoro Franc;tertiary firewall;Crescent exploit;solid state;Implementation Shoes;input Washington;Coordinator Ball Fort;Markets Cambridgeshire service-desk;Cheese;Refined circuit Tactics;Iceland Krona;SQL Salad Marketing;program Dynamic;Personal Loan Account;Points real-time Shoes;36733;23083;49911;55069;Sleek bypassing intangible;metrics;53738;9555;29416;64624;23200;13274;58379;15573
5;2021-01-13;2021-01-12;2021-01-13;2021-01-13;2021-01-12;2021-01-12;2021-01-12;2021-01-13;2021-01-12;2021-01-13;interface;hybrid networks Pants;strategy SSL brand;Towels deposit Dalasi;green;aggregate static next generation;enterprise Buckinghamshire;Money Market Account PCI;Ball;Isle of Man array;CSS;Wooden Cross-platform;Home Loan Account Unions Principal;AI tan deliver;eco-centric back-end;Fresh Concrete;Agent Home Loan Account;USB Practical Cotton Salad;heuristic Grocery Soft;North Korean Won;60870;2489;87645;7793;Bedfordshire green Intranet;Home Loan Account;33897;76586;8806;47602;27034;30964;53080;25799
6;2021-01-12;2021-01-12;2021-01-13;2021-01-13;2021-01-13;2021-01-12;2021-01-12;2021-01-12;2021-01-12;2021-01-13;matrix;magenta system;HDD neutral;optimize red;navigating lime Coordinator;THX;Washington;infrastructure best-of-breed;Shores Rest;hacking;FTP;quantifying Program;transmitter wireless;Bosnia and Herzegovina content;quantify back up;Mexican Peso Mexican Unidad de Inversion (UDI) Technician;Refined Ergonomic backing up;Jamaica Buckinghamshire card;Central African Republic;deposit Bermuda silver;58179;52872;15808;22961;Australia indexing;Synchronised Avon;32478;65998;24935;90208;8041;66362;93366;84612
7;2021-01-13;2021-01-12;2021-01-12;2021-01-12;2021-01-13;2021-01-12;2021-01-13;2021-01-12;2021-01-13;2021-01-12;cohesive Senior;Mills haptic;model Investment Account;hard drive;Gloves;Swedish Krona Shoes;Mouse;Identity Car Place;Nevada programming;Auto Loan Account;black Fully-configurable Games;Plastic;deposit Rubber;withdrawal;Sports Automotive;Buckinghamshire microchip;withdrawal;Boliviano Mvdol violet;Handcrafted Granite Shoes array navigating;multi-state Cambridgeshire;25033;64848;13162;74337;Avon hack calculate;projection Tunnel;53907;97788;16295;32078;63670;72105;46157;81714
8;2021-01-12;2021-01-12;2021-01-12;2021-01-12;2021-01-12;2021-01-12;2021-01-13;2021-01-12;2021-01-13;2021-01-12;Zambian Kwacha Orchestrator;Circle;Credit Card Account;pink Sleek grey;black Mountain Direct;Investment Account AI;supply-chains framework;Director Investor neural;needs-based deposit budgetary management;index Cambridgeshire;Data repurpose;Health productize;Fantastic Cotton Chips;Cambridgeshire Generic;virtual cyan;Virgin Islands, British hub;Engineer;Savings Account auxiliary;Automotive Operations;process improvement Avon;87620;44563;68167;39776;program definition Rand Loti;Fresh Practical;47862;72624;60782;28623;97;35671;63222;89224
9;2021-01-12;2021-01-12;2021-01-13;2021-01-13;2021-01-13;2021-01-12;2021-01-13;2021-01-12;2021-01-13;2021-01-12;indexing;Regional;Incredible Wooden Pants web-enabled;utilisation withdrawal relationships;Fish Handmade Forward;invoice;Dale Gibraltar Pound Direct;Avon contextually-based virtual;Tools Massachusetts Hong Kong Dollar;Outdoors;Cotton paradigms;Synchronised structure Lane;benchmark Data;Customer;Turnpike Tuvalu quantifying;payment Gorgeous Cotton Salad;Books;Sleek protocol Unbranded;Generic Passage;Specialist;64027;29113;67215;5004;parse Egyptian Pound;Ridges indigo;96717;41345;18991;89117;14002;1844;64580;65100
10;2021-01-12;2021-01-12;2021-01-13;2021-01-12;2021-01-12;2021-01-13;2021-01-12;2021-01-13;2021-01-13;2021-01-13;circuit Haven;multi-byte;Track Sports;cross-platform;communities Handmade yellow;Gorgeous Oregon installation;infomediaries maroon Rustic;object-oriented;e-business Maine User-friendly;gold;Ergonomic Fresh Bike;synthesizing encompassing;revolutionize;Licensed Wooden Shoes Handmade Czech Republic;Utah Ball Applications;Books Versatile International;migration paradigm Rubber;Center Soap;Licensed Steel Mouse District;Computer;14327;27246;29610;98055;deposit Rustic synthesizing;International;56453;62947;29314;66154;27510;55448;90962;30140
