id;dos_lieu_depot_dossier;dos_reference;dos_adresse_retrait;dos_condition_acquistion;dos_allotissement;dos_lot_divisible;dos_commentaire_mise_validation;dos_commentaire_validation;dos_fichier_validation;dos_commentaire_publication_provisoire;dos_commentaires_publication_definitive;dos_commentaire_publication;dos_comment_signature;dos_ref_signature;dos_comment_approbation;dos_ref_approbation;dos_date_debut_retrait;dos_date_limite_depot;dos_heurelimitedepot;dos_date_creation;dos_date_rejet;dos_date_publication_provisoire;dos_date_publication_definitive;dos_date_demande_publication;dos_commentaire_demande_publication;dos_fichier_demande_publication;dos_lieu_acquisition_dao;telecharger_dao;dos_date_ouvertue_desplis;dos_heure_ouverture_des_plis;dos_date_publication;dos_ficchier_publication;autirite_id;dos_montant_garantie;dos_montant_dao;dos_montant_estime;dos_incidents;date_remise_dossier_technique;date_limite_dossier_technique;commentaire_delai_technique;dos_date_mise_validation_attribution;dos_etat_validation;dos_bordereau;dos_fichier_mise_validation_prequalif;dosfichier_signature;dos_date_signature;dos_date_mise_validation_signature;dos_date_attribution_definitive;dos_date_demande_approbation;dos_comment_demande_approbation;fichier_approbation;dos_date_notification;dos_comment_notification;dos_ref_notification;dos_fichier_notification;dos_commentaire_attribution_definitive
1;Marketing Rubber XML;Hong Kong Dollar Assurance;compress;Inlet;neural Taka overriding;internet solution initiatives Gourde US Dollar;Germany;olive Rustic;frictionless Bacon Chief;parsing Incredible;engage Albania;Frozen multi-tasking circuit;Fort Car Health;Norwegian Krone;deposit Handcrafted Steel Bacon;withdrawal;2021-01-12;2021-01-12;2021-01-12;2021-01-13;2021-01-12;2021-01-12;2021-01-12;2021-01-12;Program;Multi-tiered Right-sized;Producer Web;78678;2021-01-12;2021-01-13;2021-01-13;California white;85056;43350;70955;28326;synthesize Argentine Peso;2021-01-12;2021-01-13;index cyan;2021-01-13;invoice Arkansas Keyboard;Refined Haiti;Fantastic Rubber Table frame;Manager Customizable implement;2021-01-12;2021-01-12;2021-01-13;2021-01-13;interfaces;lime Incredible;2021-01-13;Accounts next generation;Cotton;Grocery viral Chief;Jewelery
2;Practical Plastic Chair purple Saint Helena;Switchable Intelligent;streamline purple;Branding;Fish system Auto Loan Account;indigo Rand;Honduras;invoice drive;Steel;experiences Enterprise-wide synergistic;protocol executive SMS;Savings Account;Gorgeous Fully-configurable generating;Facilitator wireless utilize;innovative;Club Ameliorated;2021-01-13;2021-01-12;2021-01-12;2021-01-13;2021-01-12;2021-01-12;2021-01-13;2021-01-12;teal;driver benchmark;generate quantifying;80820;2021-01-12;2021-01-13;2021-01-12;eyeballs extend;67094;88070;99835;70395;Supervisor Multi-lateral architect;2021-01-13;2021-01-13;SAS monitoring Paradigm;2021-01-12;Incredible invoice;Soft Brand bypassing;Gorgeous gold Personal Loan Account;Montenegro Incredible Fresh Fish hierarchy;2021-01-12;2021-01-13;2021-01-12;2021-01-12;Unbranded deposit virtual;Ranch Incredible Fresh Gloves;2021-01-12;Plastic;Beauty Generic Soft Computer;Auto Loan Account Cross-platform Gloves;JSON mesh
3;ivory Gorgeous;Secured calculate;mission-critical;Central Awesome program;Communications strategic;National;Lebanese Pound models Awesome;Sports invoice initiatives;web-readiness engineer neural;Kids Rubber sensor;lavender payment;Rustic Factors;Associate;Tasty Japan compelling;Avon synthesizing Operations;Cambridgeshire;2021-01-12;2021-01-12;2021-01-12;2021-01-12;2021-01-13;2021-01-12;2021-01-12;2021-01-12;Arizona;generate Iraq;unleash Colorado;24486;2021-01-13;2021-01-13;2021-01-12;Generic Granite Keyboard Niue New Mexico;55735;463;93528;48854;supply-chains index;2021-01-13;2021-01-12;XML Division Associate;2021-01-12;Personal Loan Account Bedfordshire Fresh;exuding indigo;bandwidth;Venezuela conglomeration;2021-01-13;2021-01-12;2021-01-13;2021-01-12;Generic Fresh Pants;mobile Granite Jamaica;2021-01-13;Avon Central;3rd generation;customer loyalty Connecticut ADP;turquoise Innovative generating
4;moratorium Central Shirt;Platinum solid state;Berkshire Azerbaijanian Manat Buckinghamshire;program;mindshare;Cheese encoding best-of-breed;New Zealand Dollar payment;e-tailers Technician;Keys;Home Loan Account Ergonomic;dynamic Ergonomic Cotton Car;Credit Card Account withdrawal;Small;Village Executive;Equatorial Guinea Missouri;Producer input;2021-01-12;2021-01-13;2021-01-12;2021-01-13;2021-01-13;2021-01-13;2021-01-12;2021-01-12;Buckinghamshire;Unbranded Personal Loan Account microchip;Buckinghamshire visualize;4701;2021-01-12;2021-01-12;2021-01-12;Beauty;61202;47359;81787;46994;Plaza;2021-01-12;2021-01-13;human-resource Personal Loan Account;2021-01-13;SCSI Concrete multi-byte;5th generation Point Integration;Glen;Metal networks project;2021-01-12;2021-01-13;2021-01-12;2021-01-12;clicks-and-mortar compress;Central Turkish Lira e-tailers;2021-01-12;Electronics withdrawal;systems;Refined;bypassing navigating Utah
5;Home Loan Account standardization grey;Tugrik Health neural-net;architecture override Small;Gorgeous Car;implement gold;deposit;invoice transmit;synthesizing Future-proofed connecting;Dynamic Infrastructure Bacon;strategic Seychelles Rupee Checking Account;Borders driver Minnesota;online;Practical;Proactive Congolese Franc;Sports;copying optimize neural;2021-01-13;2021-01-13;2021-01-13;2021-01-12;2021-01-12;2021-01-12;2021-01-12;2021-01-12;XML Yuan Renminbi;Ergonomic Soft Soap;full-range multi-tasking fuchsia;14033;2021-01-12;2021-01-12;2021-01-13;ivory Algerian Dinar;91735;95057;55565;99590;Automotive;2021-01-13;2021-01-12;engineer;2021-01-12;New Caledonia;District Rubber;eyeballs Product Web;panel Illinois;2021-01-12;2021-01-13;2021-01-13;2021-01-13;protocol;Gorgeous Central;2021-01-12;Proactive Planner multi-byte;digital;Shoes distributed Central;Alaska transition
6;user-centric RSS;De-engineered California;neural Dynamic web-enabled;maroon;black;Interactions;24 hour capacitor Assistant;vortals Dale;Factors Team-oriented;sensor;open-source SQL;Center Optimization;Netherlands Antilles programming;Berkshire schemas Bedfordshire;algorithm;mission-critical;2021-01-12;2021-01-13;2021-01-12;2021-01-12;2021-01-12;2021-01-13;2021-01-12;2021-01-13;mindshare;coherent back-end;Ball Human Pitcairn Islands;13667;2021-01-12;2021-01-12;2021-01-12;invoice;18787;45533;98188;20974;SCSI;2021-01-12;2021-01-13;Investment Account;2021-01-13;reinvent;Malagasy Ariary target;optimizing multi-byte Intelligent;Response;2021-01-13;2021-01-12;2021-01-13;2021-01-12;input Tonga;Games Generic Fresh Chicken;2021-01-13;application Director;transition Place;auxiliary Steel grey;Dobra
7;secondary;Persistent;Borders JSON Syrian Pound;Personal Loan Account deliverables Interactions;magnetic Designer;Regional;transition;Tools overriding;Versatile Mill seize;Credit Card Account Motorway;implement Credit Card Account Chair;Accounts North Dakota;Practical Factors purple;complexity;Configurable multi-byte;indigo;2021-01-12;2021-01-13;2021-01-13;2021-01-12;2021-01-13;2021-01-13;2021-01-13;2021-01-12;transmitter;Avon;neural;45129;2021-01-13;2021-01-13;2021-01-13;Unbranded Fresh Salad Quality;45430;5835;14513;50307;Web;2021-01-12;2021-01-13;Buckinghamshire;2021-01-12;Pizza info-mediaries tangible;bypassing Handmade Granite Shoes;harness;discrete Sharable;2021-01-12;2021-01-12;2021-01-12;2021-01-13;mobile Books Accountability;cross-platform;2021-01-12;Swaziland relationships brand;JSON Savings Account;New Mexico;Hat
8;Fantastic Soft Pants;interface Fresh primary;solid state generating generating;partnerships Sleek Wooden Computer;United States of America;Mountain optimizing Poland;database West Virginia;Awesome Granite Chips;Credit Card Account;Cheese Operative;contextually-based e-commerce solid state;Buckinghamshire;Handcrafted Concrete Fish;Small Rubber Salad PCI;override Georgia;toolset;2021-01-12;2021-01-12;2021-01-12;2021-01-12;2021-01-12;2021-01-13;2021-01-13;2021-01-12;coherent;sky blue Pizza Guernsey;payment Gloves;31981;2021-01-12;2021-01-13;2021-01-13;Product;56903;34209;59059;76197;Italy Technician;2021-01-13;2021-01-12;Pound Sterling Springs;2021-01-12;connect User-friendly;Avon bypass maroon;Product;quantify THX National;2021-01-13;2021-01-12;2021-01-12;2021-01-12;payment Isle of Man;Trail Wooden;2021-01-13;maximize Gloves Cotton;Mandatory withdrawal;Taka;Rupiah Won
9;Borders Books web services;Human Metal;online Idaho haptic;Chips Towels;invoice;Industrial Soft back-end;Cliffs;Pakistan Rupee;Reactive indexing optimize;Buckinghamshire compress Engineer;Unbranded Fresh Tuna Analyst Reverse-engineered;mobile Soap Extended;redundant Auto Loan Account Shirt;override Pants;Heights;Rustic Fresh Tuna Data;2021-01-13;2021-01-12;2021-01-13;2021-01-13;2021-01-12;2021-01-13;2021-01-12;2021-01-12;granular;JSON framework;index redundant;86779;2021-01-13;2021-01-12;2021-01-13;Granite reboot Movies;11501;99362;48418;40765;Corporate olive;2021-01-12;2021-01-12;brand;2021-01-13;Palau;olive;Maryland;bluetooth;2021-01-12;2021-01-13;2021-01-13;2021-01-12;Analyst open-source;Garden;2021-01-13;toolset Savings Account B2B;Table;innovate holistic;Berkshire Savings Account
10;Front-line;methodical Steel;Delaware;Granite Ergonomic Rubber Chair Micronesia;envisioneer;Manor content Agent;Borders;mesh;Cambridgeshire withdrawal initiative;withdrawal strategy calculating;Borders innovative;Consultant Parks pixel;Adaptive feed Gloves;Illinois Plaza;compressing;whiteboard next generation architectures;2021-01-13;2021-01-13;2021-01-12;2021-01-12;2021-01-13;2021-01-13;2021-01-12;2021-01-12;Generic Berkshire Administrator;transmitting;Pennsylvania reintermediate;4212;2021-01-13;2021-01-13;2021-01-12;migration Handmade;45370;83831;79198;961;microchip;2021-01-12;2021-01-12;Licensed Steel Salad;2021-01-13;Cheese Awesome Granite Computer bus;Down-sized Frozen Configuration;Borders payment Sports;Personal Loan Account orchid;2021-01-13;2021-01-13;2021-01-12;2021-01-13;South Dakota non-volatile Bermudian Dollar (customarily known as Bermuda Dollar);Toys platforms;2021-01-12;deposit Cross-group;Savings Account;holistic;Wyoming
