id;histoac_validation;histoac_commentaire;histoac_fichiervalidation;histoac_borderau;histo_validation;histo_commentaire;histo_fichiervalidation;dao_fichier;origine;histoac_datevalidation;histoac_datecreationdossier;histo_datevalidation;histoac_attribution;histoac_ac;validerpar_nom;validerpar_prenom;user_id;autirite_id
1;Incredible Steel Mouse Customer Tuna;Cambridgeshire Alabama Parkways;Polarised initiatives;Inlet superstructure;Granite 5th generation;Reverse-engineered repurpose Fresh;online quantify;Czech Republic Accountability CSS;Inverse;2021-01-12;2021-01-13;2021-01-13;18116;41662;Integrated synthesizing Fully-configurable;impactful green;53646;83712
2;Personal Loan Account;1080p virtual;Generic Bahraini Dinar methodology;innovative seize Movies;Future bandwidth local area network;Berkshire salmon Movies;cohesive bluetooth Bedfordshire;JBOD Isle e-business;Grocery Alabama Intelligent;2021-01-13;2021-01-13;2021-01-12;17690;95021;Future Gorgeous Research;Refined bottom-line flexibility;39917;252
3;Licensed Wooden Soap;magnetic Incredible Concrete Car turn-key;Associate deliverables connect;e-business Technician;vortals support;Car Shoes;Computer Sleek Public-key;parse Rwanda 1080p;firewall mesh user-facing;2021-01-12;2021-01-12;2021-01-13;33993;75136;Orchestrator;content-based;55052;93224
4;Fiji Dollar programming Kids;solid state Fresh;Metrics withdrawal Credit Card Account;Credit Card Account;firewall Granite;deposit composite dedicated;bifurcated;user-facing Home Loan Account;pink Liaison;2021-01-12;2021-01-13;2021-01-13;91424;73581;Haiti Gorgeous;Towels USB Steel;6460;92356
5;Direct Refined;Metal Facilitator;bypass;Djibouti Franc compressing;strategize interactive white;invoice orange;hybrid Accounts;deposit;European Unit of Account 17(E.U.A.-17);2021-01-13;2021-01-12;2021-01-12;57909;77013;compress;mobile;27477;63116
6;Berkshire El Salvador Colon US Dollar;Functionality withdrawal;invoice;Human dedicated;parsing Customer;bandwidth-monitored;input;actuating cross-platform;EXE Games Optional;2021-01-13;2021-01-12;2021-01-13;17702;28346;Gloves input;navigate Savings Account Designer;4591;46495
7;Paradigm Vision-oriented executive;green zero administration Incredible;Arkansas wireless;Buckinghamshire Solutions;circuit Home Loan Account innovate;Hill SDD Brand;Books Auto Loan Account;port Avon PNG;lime;2021-01-12;2021-01-13;2021-01-12;9219;61460;Customer Burundi Borders;calculating;33155;43385
8;Car reboot;HDD Dynamic COM;mindshare Enhanced;efficient;Handcrafted Wooden Keyboard web-readiness;Marketing Idaho virtual;Agent protocol frame;enable Generic;Money Market Account Consultant Towels;2021-01-12;2021-01-13;2021-01-13;49782;48649;purple 24/365 interface;New Leu;13059;53151
9;Accountability;approach;card payment;Concrete;Handmade Total;backing up;Business-focused input card;protocol Forward bi-directional;navigating Ireland Kyat;2021-01-13;2021-01-12;2021-01-13;51513;84575;overriding technologies;program National;67724;95952
10;Soft;asymmetric protocol Tools;Bedfordshire;empower Automotive infomediaries;intranet gold magenta;Quality;Shoes;Rhode Island;Mouse Steel pixel;2021-01-12;2021-01-12;2021-01-12;51286;11105;Rubber static;Kentucky;46690;15560
