id;reference_plande_passation;reference_avis_general;attributaire_provisoire;commentaire;commentaire_definitif;nom_fichier_def;attri_type;montant_marche;montantdefinitif;mois_execution;semaine_execution;jours_execution;date_publication_provisoire;date_publication_definitive;dateattribution
1;Credit Card Account archive Corner;Solutions Rustic;cyan Customer-focused;Lakes Product Berkshire;Computers Credit Card Account;payment Marketing Ball;navigating;69198;6806;42612;41712;36114;2021-01-13;2021-01-13;2021-01-13
2;optimizing;Principal Savings Account SSL;Savings Account;backing up;Developer mobile;secondary synthesizing;collaborative;21864;46156;19212;43928;64089;2021-01-13;2021-01-12;2021-01-13
3;Ouguiya;Auto Loan Account encryption Future;Handmade Cotton Towels Libyan Arab Jamahiriya reintermediate;facilitate Towels;Alabama;Angola Incredible one-to-one;integrated Assimilated;59047;86325;14009;47482;24416;2021-01-12;2021-01-12;2021-01-12
4;Granite 3rd generation;target Frozen copying;transmitting Managed Clothing;Kenyan Shilling Producer bifurcated;Unbranded;Handmade Concrete Keyboard Robust Steel;architecture COM;28053;67732;19675;3303;35462;2021-01-12;2021-01-13;2021-01-12
5;Buckinghamshire;firewall Configuration Metal;Frozen Mills;Frozen overriding Bedfordshire;plum Mouse;throughput infrastructure;mint green Legacy;41563;33030;90062;56114;94737;2021-01-12;2021-01-12;2021-01-13
6;Money Market Account Fantastic;Outdoors bypassing Berkshire;reciprocal;deposit Nicaragua Function-based;bus facilitate sticky;Bermuda Wisconsin;Gorgeous Alaska Senior;35650;6168;83222;63576;50000;2021-01-13;2021-01-13;2021-01-12
7;bandwidth compressing transmit;calculate driver;program whiteboard Car;Personal Loan Account Incredible;purple Baby;compress Frozen;Sao Tome and Principe Investment Account;56047;28037;37214;97708;43849;2021-01-13;2021-01-12;2021-01-13
8;copy bypass Planner;Soap;Vatu Buckinghamshire synthesize;matrix;Product;Singapore;Wooden payment;47395;7866;22868;32604;97725;2021-01-12;2021-01-12;2021-01-12
9;Multi-tiered bypass;time-frame utilize Creative;SMTP Awesome;Program well-modulated;Switchable Outdoors;Unbranded Steel Cheese;deploy integrate back-end;6301;91547;4657;77926;69808;2021-01-12;2021-01-12;2021-01-12
10;Granite Handcrafted;markets Human Tennessee;infrastructures invoice;Internal Florida Metal;primary incubate modular;Bermudian Dollar (customarily known as Bermuda Dollar);withdrawal heuristic magenta;91583;318;53169;16154;97671;2021-01-12;2021-01-12;2021-01-13
